,Spectra,Host,HostDistance,Contrast,eta,alpha,rho
simu_2272,/sps/ztf/data/sedm/redux/20211212/spec_auto_robot_lstep1__crr_b_ifu20211212_06_14_11_ZTF21acgqhru.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,1.2532497948460564,0.7173055165099674,0.6492194560318507,3.6380910677178413,-0.263628059937998
simu_2273,/sps/ztf/data/sedm/redux/20180816/hgspec_target_crr_b_ifu20180816_05_05_00_ZTF18abmjvuf.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,4.60957838433485,0.5106232140351665,1.6343865809535234,1.90058264155375,-0.11657263344337705
simu_2274,/sps/ztf/data/sedm/redux/20200510/hgspec_target_crr_b_ifu20200510_05_28_47_ZTF20aaydgsu.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,3.2474132556200344,0.26237054194846204,0.45218603104751615,1.90058264155375,-0.263628059937998
simu_2275,/sps/ztf/data/sedm/redux/20191027/spec_auto_robot_lstep1__crr_b_ifu20191027_04_31_52_ZTF19acgbkzr.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,3.338629961141903,0.44910456112921493,1.2403197309848544,1.5530809563209316,-0.1533364900670323
simu_2276,/sps/ztf/data/sedm/redux/20190730/hgspec_target_crr_b_ifu20190730_10_35_27_ZTF19abhjhes.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,4.921351198985246,0.5260053305232628,1.2403197309848544,1.7268317989373407,-0.17171841837885993
simu_2277,/sps/ztf/data/sedm/redux/20181107/hgspec_target_crr_b_ifu20181107_11_19_05_ZTF18accngee.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,2.2244391523681806,0.0517192667825312,0.25515260606318163,1.3793301137045224,-0.13495456175520468
simu_2278,/sps/ztf/data/sedm/redux/20200104/hgspec_target_crr_b_ifu20200104_04_47_08_ZTF20aaaboph.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,7.86325054845845,0.7049403717039504,2.6195537058751963,1.7268317989373407,-0.22686420331434276
simu_2279,/sps/ztf/data/sedm/redux/20200916/hgspec_target_crr_b_ifu20200916_07_18_36_ZTF20abxzrqw.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_12_50_26_ZTF18acnbgrb.fits,7.930561838299876,0.13305910340343194,2.816587130859531,2.421835169402977,-0.006281063572411373
simu_2280,/sps/ztf/data/sedm/redux/20200415/spec_auto_robot_lstep1__crr_b_ifu20200415_08_48_59_ZTF20aatzhhl.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,8.717257513584844,0.8306593691751947,1.2403197309848544,3.81184191033425,-0.061426848507894205
simu_2281,/sps/ztf/data/sedm/redux/20201021/hgspec_target_crr_b_ifu20201021_06_00_05_ZTF20achtxbi.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,9.184689626959837,0.7013764092126819,3.8017542557812036,3.290589382485023,-0.11657263344337705
